frame,mass_g,force_x,force_y,force_magnitude
2,0.0,-0.0,-0.0,0.0
3,0.0,-0.0,0.0,0.0
4,0.0,0.0,-0.0,0.0
5,0.0,0.0,-0.0,0.0
6,0.0,-0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,-0.0,0.0,0.0
10,0.1186,0.0427,-0.0059,0.0431
11,0.0,-0.0,-0.0,0.0
12,0.0,-0.0,0.0,0.0
13,0.0951,0.0323,0.0257,0.0413
14,0.0,0.0,-0.0,0.0
15,0.0,-0.0,-0.0,0.0
16,0.0,-0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,-0.0,-0.0,0.0
19,0.0,-0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,-0.0,-0.0,0.0
22,0.0,-0.0,0.0,0.0
23,0.0,0.0,-0.0,0.0
24,0.0,-0.0,0.0,0.0
25,0.1041,0.1062,-0.0666,0.1254
26,0.0,-0.0,0.0,0.0
27,0.0,-0.0,0.0,0.0
28,0.0,-0.0,-0.0,0.0
29,0.0,0.0,-0.0,0.0
30,0.0,-0.0,0.0,0.0
31,0.2259,0.4676,-0.0587,0.4713
32,0.7246,-0.058,-0.3116,0.3169
33,1.1175,-1.8215,2.5144,3.1048
34,1.4536,2.6602,-3.6196,4.492
35,1.4826,-2.6539,3.3062,4.2396
36,1.6092,-0.1287,0.2897,0.317
37,1.5351,1.489,-3.6996,3.988
38,1.5,-0.18,3.165,3.1701
39,1.4391,-0.1439,-2.8494,2.853
40,1.5614,-0.3123,1.1086,1.1517
41,1.5408,1.2326,-0.2311,1.2541
42,1.5586,0.7482,0.4676,0.8823
43,1.515,-2.53,0.1818,2.5366
44,1.5994,-0.6558,-1.6154,1.7435
45,1.3744,1.5944,1.9792,2.5415
46,0.9544,-1.3267,-0.4772,1.4099
47,0.5592,0.397,0.2572,0.4731
48,0.512,0.5939,0.1177,0.6054
49,0.4851,0.0437,-0.8198,0.821
50,0.3404,-0.1429,0.2757,0.3105
51,0.3478,-0.0417,0.2748,0.278
52,0.3192,-0.1309,-0.3926,0.4139
53,0.2208,-0.1082,0.2583,0.2801
54,0.1749,0.0787,-0.1277,0.15
55,0.1462,-0.0483,0.1404,0.1485
56,0.2386,0.1766,-0.21,0.2744
57,0.248,0.0347,-0.0124,0.0369
58,0.2729,0.1146,-0.06,0.1294
59,0.2667,-0.3174,0.1387,0.3464
60,0.307,0.3807,-0.0368,0.3825
61,1.1817,-1.7844,-0.0236,1.7845
62,1.387,2.4135,-0.2774,2.4294
63,1.4058,-1.6307,0.4499,1.6916
64,1.4058,-0.5201,0.1546,0.5426
65,1.3641,1.6642,-0.8048,1.8486
66,1.4466,-0.5497,0.868,1.0274
67,1.3154,-0.6182,-0.4209,0.7479
68,1.1634,0.1861,0.2443,0.3071
69,0.7734,-0.0309,-0.4099,0.4111
70,0.2264,-0.0702,0.0951,0.1182
71,0.1974,-0.0632,-0.0888,0.109
72,0.2166,0.0801,0.1516,0.1715
73,0.1772,0.1116,-0.1081,0.1553
74,0.2025,0.0,0.0608,0.0608
75,0.1378,0.0579,-0.062,0.0849
76,0.1467,-0.2743,0.0866,0.2877
77,0.1557,0.3348,-0.0561,0.3394
78,0.197,0.0256,0.0532,0.059
79,0.1712,-0.1626,0.0958,0.1887
80,0.2124,-0.1614,-0.1296,0.207
81,0.322,0.1385,-0.0934,0.167
82,0.5836,-0.3268,0.216,0.3917
83,0.7824,0.1095,-0.5712,0.5816
84,0.8808,2.6072,0.7751,2.7199
85,0.9046,-2.0716,0.588,2.1535
86,0.9314,0.1676,-1.0524,1.0657
87,0.8433,-0.5228,0.1181,0.536
88,0.9399,0.7895,-0.6297,1.0099
89,0.8541,-0.5381,0.3246,0.6284
90,0.8742,-0.0962,0.1399,0.1697
91,0.7767,0.5282,-0.1398,0.5463
92,0.7476,-0.3439,0.0299,0.3452
93,0.7158,-0.0859,0.68,0.6854
94,0.7392,0.7983,-1.301,1.5264
95,0.7646,-0.9404,2.0796,2.2823
96,0.8578,0.4976,-1.8873,1.9518
97,0.6507,-0.1822,0.4099,0.4486
98,0.6112,0.0306,0.0672,0.0739
99,0.9812,-1.5993,-0.206,1.6125
100,0.7449,1.4377,0.0372,1.4381
101,0.7224,-0.2601,0.0939,0.2765
102,0.7762,-0.132,-0.2872,0.3161
103,0.7116,0.8326,0.1067,0.8394
104,0.6858,-0.6172,0.1989,0.6485
105,0.8854,-0.2214,1.4256,1.4427
106,0.9394,0.1127,-1.3528,1.3575
107,0.9291,0.0372,-0.1858,0.1895
108,0.9576,-0.4884,-0.0192,0.4888
109,0.9994,0.8795,-1.2493,1.5279
110,0.9994,-0.3098,1.2693,1.3066
111,0.8911,0.499,0.5169,0.7185
112,1.0017,-0.6211,-0.9716,1.1532
113,1.0046,0.01,0.3918,0.3919
114,1.2088,-2.1518,0.7374,2.2746
115,1.2155,1.3856,-0.8144,1.6072
116,1.2216,0.8063,0.0733,0.8096
117,1.3978,1.3,-0.3215,1.3392
118,1.4484,-1.9119,0.0,1.9119
119,1.4517,0.5081,0.3484,0.6161
120,1.5309,-0.2603,1.8218,1.8403
121,1.4962,-0.1945,-0.6733,0.7008
122,1.4962,0.5087,-1.1671,1.2731
123,1.5459,1.9478,0.1391,1.9528
124,1.502,-2.4482,0.3154,2.4684
125,1.502,0.4956,-0.3454,0.6041
126,1.9851,-0.1787,0.1985,0.2671
127,2.0049,0.4812,0.6416,0.802
128,2.0049,-0.2005,-0.9624,0.983
129,2.0592,-0.6384,-2.4916,2.5721
130,1.9796,1.8212,2.0785,2.7635
131,1.9796,-1.2867,0.3959,1.3462
132,1.6158,-1.3896,0.1454,1.3972
133,1.6396,1.6233,0.2623,1.6443
134,1.635,-0.1472,-0.4415,0.4653
135,1.6246,1.9333,-2.1283,2.8753
136,1.6701,-1.9206,2.7891,3.3864
137,1.6416,-0.1477,-0.4925,0.5142
138,1.6809,0.1513,0.6892,0.7056
139,1.598,-0.4474,-0.3675,0.579
140,1.5496,0.2634,-0.4804,0.5479
